vars,creation_time,label,trial_id,asset_key,type,class,object_type
{},2023-02-16 17:04:15,stimulus,45,consonance_main_experiment/participants/participant_3/node_25__trial_45__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:16,stimulus,46,consonance_main_experiment/participants/participant_2/node_15__trial_46__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:20,stimulus,47,consonance_main_experiment/participants/participant_3/node_21__trial_47__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:22,stimulus,48,consonance_main_experiment/participants/participant_2/node_40__trial_48__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:25,stimulus,49,consonance_main_experiment/participants/participant_3/node_53__trial_49__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:26,stimulus,50,consonance_main_experiment/participants/participant_2/node_12__trial_50__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:29,stimulus,51,consonance_main_experiment/participants/participant_3/node_8__trial_51__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:32,stimulus,52,consonance_main_experiment/participants/participant_2/node_23__trial_52__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:34,stimulus,53,consonance_main_experiment/participants/participant_3/node_42__trial_53__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:37,stimulus,54,consonance_main_experiment/participants/participant_2/node_29__trial_54__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:38,stimulus,55,consonance_main_experiment/participants/participant_3/node_12__trial_55__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:42,stimulus,56,consonance_main_experiment/participants/participant_2/node_28__trial_56__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:43,stimulus,57,consonance_main_experiment/participants/participant_3/node_10__trial_57__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:48,stimulus,58,consonance_main_experiment/participants/participant_2/node_51__trial_58__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:48,stimulus,59,consonance_main_experiment/participants/participant_3/node_27__trial_59__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:53,stimulus,60,consonance_main_experiment/participants/participant_2/node_9__trial_60__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:53,stimulus,61,consonance_main_experiment/participants/participant_3/node_16__trial_61__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:58,stimulus,62,consonance_main_experiment/participants/participant_2/node_46__trial_62__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:04:58,stimulus,63,consonance_main_experiment/participants/participant_3/node_7__trial_63__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:03,stimulus,64,consonance_main_experiment/participants/participant_2/node_19__trial_64__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:04,stimulus,65,consonance_main_experiment/participants/participant_3/node_18__trial_65__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:08,stimulus,66,consonance_main_experiment/participants/participant_2/node_10__trial_66__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:09,stimulus,67,consonance_main_experiment/participants/participant_3/node_15__trial_67__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:14,stimulus,68,consonance_main_experiment/participants/participant_2/node_42__trial_68__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:14,stimulus,69,consonance_main_experiment/participants/participant_3/node_32__trial_69__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:18,stimulus,70,consonance_main_experiment/participants/participant_3/node_22__trial_70__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:19,stimulus,71,consonance_main_experiment/participants/participant_2/node_36__trial_71__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:23,stimulus,72,consonance_main_experiment/participants/participant_3/node_56__trial_72__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:24,stimulus,73,consonance_main_experiment/participants/participant_2/node_35__trial_73__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:28,stimulus,74,consonance_main_experiment/participants/participant_3/node_31__trial_74__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:29,stimulus,75,consonance_main_experiment/participants/participant_2/node_50__trial_75__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:31,stimulus,76,headphone_test/nodes/node_3__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:32,stimulus,77,consonance_main_experiment/participants/participant_3/node_41__trial_77__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:34,stimulus,78,consonance_main_experiment/participants/participant_2/node_22__trial_78__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:37,stimulus,79,headphone_test/nodes/node_1__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:37,stimulus,80,consonance_main_experiment/participants/participant_3/node_47__trial_80__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:39,stimulus,81,consonance_main_experiment/participants/participant_2/node_14__trial_81__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:42,stimulus,82,consonance_main_experiment/participants/participant_3/node_36__trial_82__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:43,stimulus,83,headphone_test/nodes/node_2__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:44,stimulus,84,consonance_main_experiment/participants/participant_2/node_30__trial_84__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:46,stimulus,85,consonance_main_experiment/participants/participant_3/node_44__trial_85__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:49,stimulus,86,headphone_test/nodes/node_6__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:50,stimulus,87,consonance_main_experiment/participants/participant_2/node_41__trial_87__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:51,stimulus,88,consonance_main_experiment/participants/participant_3/node_28__trial_88__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:55,stimulus,89,headphone_test/nodes/node_4__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:55,stimulus,90,consonance_main_experiment/participants/participant_3/node_51__trial_90__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:05:55,stimulus,91,consonance_main_experiment/participants/participant_2/node_49__trial_91__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:00,stimulus,92,consonance_main_experiment/participants/participant_3/node_24__trial_92__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:01,stimulus,93,headphone_test/nodes/node_5__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:02,stimulus,94,consonance_main_experiment/participants/participant_2/node_53__trial_94__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:05,stimulus,95,consonance_main_experiment/participants/participant_3/node_50__trial_95__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:07,stimulus,96,consonance_main_experiment/participants/participant_2/node_16__trial_96__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:08,stimulus,97,headphone_test/nodes/node_5__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:11,stimulus,98,consonance_main_experiment/participants/participant_3/node_55__trial_98__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:12,stimulus,99,consonance_main_experiment/participants/participant_2/node_17__trial_99__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:16,stimulus,100,consonance_main_experiment/participants/participant_3/node_13__trial_100__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:18,stimulus,101,consonance_main_experiment/participants/participant_2/node_45__trial_101__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:20,stimulus,102,consonance_main_experiment/participants/participant_6/node_23__trial_102__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:20,stimulus,103,headphone_test/nodes/node_3__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:20,stimulus,104,consonance_main_experiment/participants/participant_3/node_39__trial_104__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:24,stimulus,105,consonance_main_experiment/participants/participant_2/node_55__trial_105__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:25,stimulus,106,consonance_main_experiment/participants/participant_3/node_48__trial_106__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:25,stimulus,107,consonance_main_experiment/participants/participant_6/node_8__trial_107__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:29,stimulus,108,consonance_main_experiment/participants/participant_2/node_32__trial_108__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:30,stimulus,109,consonance_main_experiment/participants/participant_6/node_43__trial_109__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:30,stimulus,110,consonance_main_experiment/participants/participant_3/node_49__trial_110__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:30,stimulus,111,headphone_test/nodes/node_6__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:34,stimulus,112,consonance_main_experiment/participants/participant_6/node_25__trial_112__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:34,stimulus,113,consonance_main_experiment/participants/participant_2/node_54__trial_113__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:36,stimulus,114,consonance_main_experiment/participants/participant_3/node_23__trial_114__stimulus,AssetTrial,AssetTrial,AssetTrial
{},2023-02-16 17:06:37,stimulus,115,headphone_test/nodes/node_4__stimulus,AssetTrial,AssetTrial,AssetTrial
