type,pitch_interval,pleasantness,pleasantness_se
Carillon,0.44,-0.33868347494787243,0.08774679336239179
Carillon,0.45,-0.366214182692474,0.08805802411892626
Carillon,0.46,-0.39323792827847565,0.08836729674107041
Carillon,0.47000000000000003,-0.41976043923822076,0.08866527219393816
Carillon,0.48,-0.4457874431040528,0.08894730299670163
Carillon,0.49,-0.4713246674083157,0.08920977977630463
Carillon,0.5,-0.4963778396833527,0.08944311125475903
Carillon,0.51,-0.520946392034172,0.08964102829642072
Carillon,0.52,-0.5448903962180618,0.0897990688460638
Carillon,0.53,-0.5681606177658985,0.08990326627745819
Carillon,0.54,-0.5907708420517876,0.08995681615039629
Carillon,0.55,-0.6127348544498344,0.08996090817260428
Carillon,0.56,-0.6340664403341445,0.08991508607038734
Carillon,0.5700000000000001,-0.6547793850788232,0.08983071779157048
Carillon,0.58,-0.6748874740579759,0.08971899499311596
Carillon,0.59,-0.6944044926457081,0.08958716810339662
Carillon,0.6,-0.7133442262161256,0.0894452423067042
Carillon,0.61,-0.7317204601433334,0.0893028380831949
Carillon,0.62,-0.7495469798014369,0.08916852285176385
Carillon,0.63,-0.7668375705645418,0.08904885175434812
Carillon,0.64,-0.7836060178067537,0.08894369786946693
Carillon,0.65,-0.7998661069021774,0.08885151224973661
Carillon,0.66,-0.8156316232249191,0.08877316331192979
Carillon,0.67,-0.8309163521490835,0.08870127270521316
Carillon,0.68,-0.8457340790487766,0.08862096527862912
Carillon,0.6900000000000001,-0.8600985892981037,0.08851325761116777
Carillon,0.7000000000000001,-0.87402366827117,0.08836456821472123
Carillon,0.71,-0.887523101342081,0.08815662697544824
Carillon,0.72,-0.9006106738849423,0.08788816862695185
Carillon,0.73,-0.9133001712738595,0.08756558116154557
Carillon,0.74,-0.9255803094058336,0.08718852026288709
Carillon,0.75,-0.9368834231336391,0.08677183492062557
Carillon,0.76,-0.9470281374846347,0.08633923375967736
Carillon,0.77,-0.9560932428773986,0.08590940398481316
Carillon,0.78,-0.9641575297305106,0.08549248139756298
Carillon,0.79,-0.9712997884625497,0.08509581133987244
Carillon,0.8,-0.9775988094920948,0.08473418419435086
Carillon,0.81,-0.9831333832377255,0.0844204389344116
Carillon,0.8200000000000001,-0.9879823001180201,0.08415973954947997
Carillon,0.8300000000000001,-0.9922243505515584,0.08395149623702151
Carillon,0.84,-0.9959383249569191,0.08379287283038438
Carillon,0.85,-0.9992030137526815,0.08367721489603169
Carillon,0.86,-1.0020972073574246,0.08359987118099983
Carillon,0.87,-1.0046996961897277,0.08355112867871448
Carillon,0.88,-1.0070892706681696,0.08352602397324235
Carillon,0.89,-1.0093447212113296,0.08351217853882129
Carillon,0.9,-1.0115448382377865,0.08349064086667236
Carillon,0.91,-1.01376841216612,0.08345369135946512
Carillon,0.92,-1.0160942334149088,0.08338994944292175
Carillon,0.93,-1.018601092402732,0.08328994192722071
Carillon,0.9400000000000001,-1.0213677795481686,0.08314632665188797
Carillon,0.9500000000000001,-1.0244730852697979,0.08294989218029339
Carillon,0.96,-1.0278471396491369,0.08269663530507011
Carillon,0.97,-1.0308795108712654,0.08237787221358853
Carillon,0.98,-1.0335104646893396,0.08198091626761336
Carillon,0.99,-1.03575826229555,0.08149785499493345
Carillon,1,-1.0376411648820867,0.08093743663913858
Carillon,1.01,-1.039177433641141,0.08031613439580756
Carillon,1.02,-1.0403853297649028,0.07965375565694952
Carillon,1.03,-1.0412831144455628,0.07896836801080045
Carillon,1.04,-1.0418890488753116,0.07827654528142891
Carillon,1.05,-1.0422213942463394,0.0775929288404283
Carillon,1.06,-1.0422984117508374,0.0769266283947222
Carillon,1.07,-1.0421383625809952,0.07628726432179397
Carillon,1.08,-1.041759507929004,0.07568248207374008
Carillon,1.09,-1.041180108987054,0.07511916280178753
Carillon,1.1,-1.0404184269473358,0.07460703548055103
Carillon,1.11,-1.0394927230020399,0.07414685704237081
Carillon,1.12,-1.0384212583433567,0.07373479153879786
Carillon,1.1300000000000001,-1.0372222941634766,0.07335405401353781
Carillon,1.1400000000000001,-1.0359140916545906,0.07299670747455143
Carillon,1.1500000000000001,-1.0345149120088888,0.0726515476865953
Carillon,1.16,-1.0330430164185616,0.07232370782995054
Carillon,1.17,-1.0313525523343623,0.07201731079830596
Carillon,1.18,-1.0290531619257668,0.07173653837345748
Carillon,1.19,-1.0261715479667406,0.07149902358279318
Carillon,1.2,-1.0227563691597141,0.07132071250669371
Carillon,1.21,-1.0188562842071183,0.07121404037801106
Carillon,1.22,-1.0145199518113837,0.07119338694418692
Carillon,1.23,-1.0097960306749418,0.07126956446338992
Carillon,1.24,-1.0047331795002228,0.07144696377197403
Carillon,1.25,-0.9993800569896574,0.07172571605200116
Carillon,1.26,-0.9937853218456766,0.07210496603362593
Carillon,1.27,-0.9879976327707111,0.07257893253535443
Carillon,1.28,-0.9820656484671916,0.07313068000129525
Carillon,1.29,-0.9760380276375492,0.07374519681972685
Carillon,1.3,-0.9699634289842144,0.07441012490643281
Carillon,1.31,-0.963890511209618,0.07511252932945409
Carillon,1.32,-0.9578679330161908,0.07583725102882859
Carillon,1.33,-0.9519443531063636,0.07656794280932148
Carillon,1.34,-0.9461684301825671,0.07729732819969994
Carillon,1.35,-0.9405888229472323,0.07802668412128358
Carillon,1.36,-0.9352541901027898,0.07874713292886391
Carillon,1.37,-0.9302131903516703,0.07944201271201252
Carillon,1.3800000000000001,-0.9255144823963046,0.08010537030759661
Carillon,1.3900000000000001,-0.9212067249391236,0.08074394297630906
Carillon,1.4000000000000001,-0.9171454000224288,0.08136711154481617
Carillon,1.41,-0.9127913269235809,0.08196890376801158
Carillon,1.42,-0.9081377122401282,0.08254653330590454
Carillon,1.43,-0.903216599560474,0.08309439687001119
Carillon,1.44,-0.8980600324730221,0.08360563470554817
Carillon,1.45,-0.8927000545661766,0.08408813655619019
Carillon,1.46,-0.8871687094283404,0.08455042743695877
Carillon,1.47,-0.8814980406479175,0.08500069484166227
Carillon,1.48,-0.8757200918133113,0.08543785754066
Carillon,1.49,-0.8698669065129258,0.08585817970625793
Carillon,1.5,-0.863970528335164,0.08625632426061673
Carillon,1.51,-0.85806300086843,0.08662446035760303
Carillon,1.52,-0.8521763677011271,0.08695868390405423
Carillon,1.53,-0.846342672421659,0.08725570589745406
Carillon,1.54,-0.8405939586184294,0.08750944927330653
Carillon,1.55,-0.8349622698798418,0.0877137606071503
Carillon,1.56,-0.8294796497942999,0.08786854885055506
Carillon,1.57,-0.8241781419502073,0.0879751033806272
Carillon,1.58,-0.8190897899359674,0.08803161627269597
Carillon,1.59,-0.814246637339984,0.08803698925609099
Carillon,1.6,-0.8096807277506608,0.08799119014101384
Carillon,1.61,-0.8054242814522259,0.08789189964742901
Carillon,1.62,-0.8014789411784933,0.08773367230706679
Carillon,1.6300000000000001,-0.7978119005394322,0.08752318092916299
Carillon,1.6400000000000001,-0.7943891649210506,0.08727005675865258
Carillon,1.6500000000000001,-0.7911767397093565,0.08698014221564954
Carillon,1.6600000000000001,-0.788140630290358,0.08666066585839596
Carillon,1.67,-0.7852468420500626,0.08631666618005154
Carillon,1.68,-0.7824613803744788,0.08595473819476898
Carillon,1.69,-0.7797502506496146,0.08558230394838466
