experiment,interval,value,measure,measure_group,colour,timbre,ymin,ymax
Experiment,0.3303303303303303,0.1688231915548935,Participants,,black,Harmonic,-5.544458224603366e-4,0.33820082893224734
Experiment,0.34534534534534533,0.14654805731187637,Participants,,black,Harmonic,-0.019875198342984346,0.3129713129667371
Experiment,0.36036036036036034,0.12408713768162132,Participants,,black,Harmonic,-0.03955876805830276,0.2877330434215454
Experiment,0.37537537537537535,0.10153052197207985,Participants,,black,Harmonic,-0.059529177138543804,0.26259022108270347
Experiment,0.39039039039039036,0.07897208462075626,Participants,,black,Harmonic,-0.07970378185591777,0.2376479510974303
Experiment,0.40540540540540543,0.05650846711806183,Participants,,black,Harmonic,-0.09999331512470021,0.21301024936082386
Experiment,0.42042042042042044,0.03423798293906258,Participants,,black,Harmonic,-0.12030221222666185,0.188778178104787
Experiment,0.43543543543543545,0.012259463560457902,Participants,,black,Harmonic,-0.14052929630797337,0.16504822342888917
Experiment,0.45045045045045046,-0.009328936268935991,Participants,,black,Harmonic,-0.16056886957340996,0.14191099703553797
Experiment,0.46546546546546547,-0.030430956226784968,Participants,,black,Harmonic,-0.18031221390772553,0.11945030145415561
Experiment,0.4804804804804805,-0.05095345393584097,Participants,,black,Harmonic,-0.1996494579711903,0.09774255009950836
Experiment,0.4954954954954955,-0.07080761776802857,Participants,,black,Harmonic,-0.21847172512796814,0.07685648959191099
Experiment,0.5105105105105106,-0.08991015278282481,Participants,,black,Harmonic,-0.2366734454885132,0.056853139922863574
Experiment,0.5255255255255256,-0.10818442365250358,Participants,,black,Harmonic,-0.25415470061231116,0.037785853307304024
Experiment,0.5405405405405406,-0.12556153799624015,Participants,,black,Harmonic,-0.27082347187775435,0.019700395885274086
Experiment,0.5555555555555556,-0.14198135272922793,Participants,,black,Harmonic,-0.28659768044582534,0.002634974987369504
Experiment,0.5705705705705706,-0.1573933849793692,Participants,,black,Harmonic,-0.30140693307689426,-0.013379836881844104
Experiment,0.5855855855855856,-0.17175760805916374,Participants,,black,Harmonic,-0.3151939180873065,-0.02832129803102096
Experiment,0.6006006006006006,-0.18504511217926103,Participants,,black,Harmonic,-0.32791542446053523,-0.04217479989798684
Experiment,0.6156156156156156,-0.19723860934054446,Participants,,black,Harmonic,-0.33954298109569314,-0.05493423758539581
Experiment,0.6306306306306306,-0.20833276240748994,Participants,,black,Harmonic,-0.350063130651644,-0.06660239416333585
Experiment,0.6456456456456456,-0.21833431995489358,Participants,,black,Harmonic,-0.35947736318374174,-0.07719127672604542
Experiment,0.6606606606606606,-0.22726204122059696,Participants,,black,Harmonic,-0.3678017395802428,-0.0867223428609511
Experiment,0.6756756756756757,-0.23514639942248294,Participants,,black,Harmonic,-0.3750662351029542,-0.09522656374201169
Experiment,0.6906906906906907,-0.24202905674480935,Participants,,black,Harmonic,-0.38131383079144754,-0.10274428269817112
Experiment,0.7057057057057057,-0.2479621103119453,Participants,,black,Harmonic,-0.38659937678052037,-0.10932484384337021
Experiment,0.7207207207207207,-0.25300711521380476,Participants,,black,Harmonic,-0.39098824822934464,-0.11502598219826488
Experiment,0.7357357357357357,-0.2572338978345391,Participants,,black,Harmonic,-0.39455481281836846,-0.11991298285070975
Experiment,0.7507507507507507,-0.2607191800334613,Participants,,black,Harmonic,-0.39738072951746956,-0.12405763054945301
Experiment,0.7657657657657657,-0.26354504178563826,Participants,,black,Harmonic,-0.3995531019934868,-0.1275369815777897
Experiment,0.7807807807807807,-0.26579725636108853,Participants,,black,Harmonic,-0.40116251651923324,-0.13043199620294382
Experiment,0.7957957957957957,-0.26756353767567925,Participants,,black,Harmonic,-0.402301002944329,-0.13282607240702948
Experiment,0.8108108108108109,-0.2689317437857402,Participants,,black,Harmonic,-0.4030599670671093,-0.1348035205043711
Experiment,0.8258258258258259,-0.26998808336928787,Participants,,black,Harmonic,-0.40352815209817305,-0.1364480146404027
Experiment,0.8408408408408409,-0.2708153732439762,Participants,,black,Harmonic,-0.40378969413106214,-0.1378410523568903
Experiment,0.8558558558558559,-0.2714913943877614,Participants,,black,Harmonic,-0.4039223400039396,-0.13906044877158313
Experiment,0.8708708708708709,-0.27208739150415157,Participants,,black,Harmonic,-0.40399589437804506,-0.14017888863025807
Experiment,0.8858858858858859,-0.2726667569485419,Participants,,black,Harmonic,-0.40407095562845613,-0.1412625582686277
Experiment,0.9009009009009009,-0.273283933938722,Participants,,black,Harmonic,-0.40419798739395213,-0.14236988048349192
Experiment,0.9159159159159159,-0.27398356663967377,Participants,,black,Harmonic,-0.40441675534461796,-0.14355037793472955
Experiment,0.9309309309309309,-0.27479991625976036,Participants,,black,Harmonic,-0.4047561385614554,-0.1448436939580653
Experiment,0.9459459459459459,-0.27575655311927383,Participants,,black,Harmonic,-0.40523430394167276,-0.1462788022968749
Experiment,0.960960960960961,-0.27686632520601195,Participants,,black,Harmonic,-0.40585921234276245,-0.14787343806926145
Experiment,0.975975975975976,-0.2781315944954418,Participants,,black,Harmonic,-0.4066294085480405,-0.149633780442843
Experiment,0.990990990990991,-0.2795447237551852,Participants,,black,Harmonic,-0.40753503482011033,-0.15155441269026007
Experiment,1.006006006006006,-0.28108878909871593,Participants,,black,Harmonic,-0.4085590004153421,-0.15361857778208976
Experiment,1.021021021021021,-0.2827384875421538,Participants,,black,Harmonic,-0.4096782369913931,-0.1557987380929145
Experiment,1.0360360360360361,-0.28446120448058054,Participants,,black,Harmonic,-0.4108649719618934,-0.15805743699926766
Experiment,1.0510510510510511,-0.28621820343528764,Participants,,black,Harmonic,-0.4120879579242053,-0.16034844894637001
Experiment,1.0660660660660661,-0.2879658995942785,Participants,,black,Harmonic,-0.4133136056370727,-0.16261819355148427
Experiment,1.0810810810810811,-0.2896571794112964,Participants,,black,Harmonic,-0.41450698001684216,-0.16480737880575058
Experiment,1.0960960960960962,-0.2912427305751724,Participants,,black,Harmonic,-0.4156326326446014,-0.16685282850574346
Experiment,1.1111111111111112,-0.2926723496712831,Participants,,black,Harmonic,-0.4166552596636631,-0.16868943967890304
Experiment,1.1261261261261262,-0.2938961984591165,Participants,,black,Harmonic,-0.41754018983672997,-0.17025220708150307
Experiment,1.1411411411411412,-0.29486598352438204,Participants,,black,Harmonic,-0.418253722754484,-0.17147824429428002
Experiment,1.1561561561561562,-0.2955360378229092,Participants,,black,Harmonic,-0.41876335023552125,-0.17230872541029718
Experiment,1.1711711711711712,-0.295864286093428,Participants,,black,Harmonic,-0.41903790311476075,-0.1726906690720953
Experiment,1.1861861861861862,-0.29581307916196403,Participants,,black,Harmonic,-0.4190476692656726,-0.17257848905825549
Experiment,1.2012012012012012,-0.295349884792852,Participants,,black,Harmonic,-0.41876452576282214,-0.1719352438228819
Experiment,1.2162162162162162,-0.29444782507180345,Participants,,black,Harmonic,-0.4181621184787708,-0.17073353166483612
Experiment,1.2312312312312312,-0.29308605253530906,Participants,,black,Harmonic,-0.4172161073092093,-0.16895599776140882
Experiment,1.2462462462462462,-0.2912499596419665,Participants,,black,Harmonic,-0.41590447704523026,-0.16659544223870268
Experiment,1.2612612612612613,-0.28893121897727225,Participants,,black,Harmonic,-0.4142078958742731,-0.1636545420802714
Experiment,1.2762762762762763,-0.2861276550126123,Participants,,black,Harmonic,-0.41211008888910405,-0.1601452211361205
Experiment,1.2912912912912913,-0.2828429524276455,Participants,,black,Harmonic,-0.40959818542235193,-0.15608771943293906
Experiment,1.3063063063063063,-0.27908621094508745,Participants,,black,Harmonic,-0.40666299782343435,-0.15150942406674056
Experiment,1.3213213213213213,-0.27487136215321556,Participants,,black,Harmonic,-0.4032991952654974,-0.14644352904093372
Experiment,1.3363363363363363,-0.2702164695819954,Participants,,black,Harmonic,-0.3995053477810053,-0.1409275913829855
Experiment,1.3513513513513513,-0.2651429389004337,Participants,,black,Harmonic,-0.3952838305682722,-0.13500204723259526
Experiment,1.3663663663663663,-0.2596746699829556,Participants,,black,Harmonic,-0.3906405939921276,-0.12870874597378354
Experiment,1.3813813813813813,-0.25383718620946694,Participants,,black,Harmonic,-0.38558481818381385,-0.12208955423512002
Experiment,1.3963963963963963,-0.24765677824458138,Participants,,black,Harmonic,-0.3801284809460498,-0.115185075543113
Experiment,1.4114114114114114,-0.24115969935531809,Participants,,black,Harmonic,-0.37428587286110016,-0.10803352584953604
Experiment,1.4264264264264264,-0.23437144693848516,Participants,,black,Harmonic,-0.3680730940247937,-0.10066979985217664
Experiment,1.4414414414414414,-0.22731616042536296,Participants,,black,Harmonic,-0.3615075633723791,-0.09312475747834684
Experiment,1.4564564564564564,-0.22001615941182157,Participants,,black,Harmonic,-0.35460756533037646,-0.08542475349326667
Experiment,1.4714714714714714,-0.21249163820059758,Participants,,black,Harmonic,-0.3473918509929645,-0.07759142540823066
Experiment,1.4864864864864864,-0.2047605245244886,Participants,,black,Harmonic,-0.33987930365690294,-0.06964174539207424
Experiment,1.5015015015015014,-0.1968385016688119,Participants,,black,Harmonic,-0.3320886726100792,-0.061588330727544605
Experiment,1.5165165165165164,-0.18873918511895774,Participants,,black,Harmonic,-0.3240383754147034,-0.0534399948232121
Experiment,1.5315315315315314,-0.180474437723967,Participants,,black,Harmonic,-0.3157463679114503,-0.04520250753648372
Experiment,1.5465465465465464,-0.1720548015596863,Participants,,black,Harmonic,-0.30723008260010276,-0.036879520519269876
Experiment,1.5615615615615615,-0.16349002042133662,Participants,,black,Harmonic,-0.29850643921100106,-0.028473601631672174
Experiment,1.5765765765765765,-0.15478962426165402,Participants,,black,Harmonic,-0.2895919350404669,-0.019987313482841135
Experiment,1.5915915915915915,-0.14596354588389926,Participants,,black,Harmonic,-0.28050282561916995,-0.011424266148628542
Experiment,1.6066066066066067,-0.13702274067280878,Participants,,black,Harmonic,-0.27125540715954266,-0.0027900741860748812
Experiment,1.6216216216216217,-0.12797978191023712,Participants,,black,Harmonic,-0.2618664099093526,0.00590684608887837
Experiment,1.6366366366366367,-0.11884940704512471,Participants,,black,Harmonic,-0.25235350547077207,0.014654691380522625
Experiment,1.6516516516516517,-0.10964899391706644,Participants,,black,Harmonic,-0.24273592146149725,0.023437933627364363
Experiment,1.6666666666666667,-0.10039895010806402,Participants,,black,Harmonic,-0.23303514444385257,0.03223724422772453
Experiment,1.6816816816816818,-0.09112300305643073,Participants,,black,Harmonic,-0.22327567826289182,0.041029672150030366
Experiment,1.6966966966966968,-0.0818483830552684,Participants,,black,Harmonic,-0.2134858115828449,0.04978904547230811
Experiment,1.7117117117117118,-0.07260589553508796,Participants,,black,Harmonic,-0.2036983372854993,0.05848654621532336
Experiment,1.7267267267267268,-0.06342988288086418,Participants,,black,Harmonic,-0.19395115903321417,0.0670913932714858
