vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2023-02-16 17:14:43,False,,,42,consonance_main_experiment,11,2023-02-16 17:14:43,2023-02-16 17:19:29,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.0, 'passed': True}","[445, 391, 417, 454]",4.0,54,['default'],0,default,"[52, 23, 40, 31, 29, 14, 56, 24, 17, 33, 9, 26, 34, 28, 19, 15, 51, 38, 25, 42, 30, 21, 49, 53, 54, 22, 48, 11, 50, 12, 41, 35, 55, 32, 43, 44, 45, 8, 47, 46, 10, 13, 16, 27, 20, 7, 37, 18, 39, 36, 46, 49, 35, 16]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:15:40,False,,,45,consonance_main_experiment,13,2023-02-16 17:15:40,,,True,False,False,ChainTrialMakerState,default,True,"{'score': None, 'passed': False}","[401, 409, 429, 443]",4.0,54,['default'],0,default,"[31, 50, 17, 23, 9, 33, 35, 12, 55, 21, 15, 32, 49, 16, 13, 14, 41, 45, 42, 22, 19, 53, 56, 7, 10, 8, 24, 36, 51, 34, 18, 44, 20, 52, 29, 47, 40, 39, 28, 37, 46, 43, 26, 11, 30, 25, 48, 38, 54, 27, 53, 10, 20, 28]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:19:40,False,,,51,headphone_test,15,2023-02-16 17:19:40,2023-02-16 17:20:17,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 4, 5, 3, 1, 2]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:20:26,False,,,54,consonance_main_experiment,15,2023-02-16 17:20:26,,,True,False,False,ChainTrialMakerState,default,True,"{'score': None, 'passed': False}","[503, 527, 510, 505]",4.0,54,['default'],0,default,"[28, 24, 27, 46, 43, 21, 38, 37, 41, 15, 7, 18, 51, 48, 55, 8, 44, 47, 32, 33, 56, 23, 9, 30, 14, 36, 31, 29, 20, 10, 25, 42, 35, 54, 52, 53, 50, 17, 16, 13, 40, 34, 19, 26, 22, 49, 11, 12, 45, 39, 48, 29, 47, 55]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:21:07,False,,,56,headphone_test,17,2023-02-16 17:21:07,2023-02-16 17:21:47,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[3, 1, 5, 2, 4, 6]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:22:04,False,,,58,consonance_main_experiment,17,2023-02-16 17:22:04,2023-02-16 17:26:12,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.7745966692414834, 'passed': True}","[516, 566, 547, 591]",4.0,54,['default'],0,default,"[51, 32, 31, 47, 29, 52, 35, 23, 50, 30, 14, 20, 22, 53, 13, 27, 7, 54, 11, 18, 48, 40, 36, 17, 45, 56, 12, 19, 26, 9, 37, 34, 8, 15, 39, 38, 24, 46, 41, 10, 21, 55, 42, 49, 33, 16, 43, 25, 28, 44, 32, 26, 11, 33]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:25:41,False,,,63,headphone_test,19,2023-02-16 17:25:41,2023-02-16 17:26:20,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 2, 3, 4, 5, 1]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:26:42,False,,,67,headphone_test,20,2023-02-16 17:26:42,2023-02-16 17:27:20,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[6, 1, 2, 3, 4, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:26:54,False,,,68,consonance_main_experiment,19,2023-02-16 17:26:54,2023-02-16 17:31:08,,True,True,False,ChainTrialMakerState,default,True,"{'score': 1.0, 'passed': True}","[700, 699, 620, 619]",4.0,54,['default'],0,default,"[28, 20, 19, 33, 42, 36, 35, 49, 21, 43, 32, 16, 8, 12, 11, 40, 47, 18, 23, 46, 53, 48, 52, 9, 17, 10, 27, 34, 14, 26, 37, 7, 25, 51, 22, 30, 54, 50, 44, 13, 15, 41, 38, 56, 45, 55, 31, 29, 39, 24, 39, 29, 49, 35]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:27:38,False,,,70,consonance_main_experiment,20,2023-02-16 17:27:38,2023-02-16 17:31:52,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.7071067811865476, 'passed': True}","[698, 688, 642, 694]",4.0,54,['default'],0,default,"[10, 48, 31, 33, 45, 53, 25, 15, 34, 17, 13, 14, 44, 8, 43, 19, 11, 47, 23, 42, 41, 56, 7, 39, 49, 54, 24, 29, 21, 35, 40, 51, 26, 55, 38, 12, 18, 37, 50, 22, 16, 36, 28, 52, 46, 27, 20, 30, 9, 32, 50, 55, 13, 18]",54,54,ChainTrialMakerState,ModuleState
{},2023-02-16 17:36:11,False,,,82,headphone_test,26,2023-02-16 17:36:11,2023-02-16 17:36:57,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[4, 1, 2, 5, 6, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:37:06,False,,,84,headphone_test,25,2023-02-16 17:37:06,2023-02-16 17:37:49,,True,True,False,ChainTrialMakerState,default,False,"{'score': None, 'passed': True}",,,6,['default'],0,default,"[4, 1, 3, 2, 6, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-02-16 17:37:12,False,,,85,consonance_main_experiment,26,2023-02-16 17:37:12,2023-02-16 17:41:05,,True,True,False,ChainTrialMakerState,default,True,"{'score': 0.7071067811865476, 'passed': True}","[803, 777, 742, 743]",4.0,54,['default'],0,default,"[27, 17, 7, 44, 19, 8, 21, 14, 29, 24, 39, 20, 9, 15, 49, 28, 33, 23, 35, 32, 12, 53, 10, 54, 50, 51, 55, 48, 52, 36, 46, 25, 37, 40, 45, 31, 41, 56, 26, 18, 13, 11, 42, 16, 22, 30, 38, 47, 34, 43, 13, 48, 24, 39]",54,54,ChainTrialMakerState,ModuleState
